ticker,rank,score,sector,equal_weight,risk_parity_weight,volatility_annual,risk_contrib_ew,risk_contrib_rp,value_score,quality_score,tech_score,fund_score,sent_score,rsi,rsi,pe_ratio,pb_ratio
O,103,-0.039255174467929366,Real Estate,0.003134796238244514,0.005396998872906351,0.011057749543894541,0.0015380861145525735,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,24.137985045988728,24.137985045988728,,
UNP,104,-0.039410234572592275,Industrials,0.003134796238244514,0.004255579288628653,0.014023628224892223,0.0019506272739070816,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,40.27075495439486,40.27075495439486,,
CDW,105,-0.03960602261403237,Technology,0.003134796238244514,0.002956374122021946,0.02018643763004652,0.002807847952949822,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,30.885446050890337,30.885446050890337,,
ROK,106,-0.03969963571265726,Industrials,0.003134796238244514,0.0028930404389219747,0.0206283538323154,0.0028693166244735738,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,36.49875173121658,36.49875173121658,,
BLK,107,-0.04003730725813931,Financial Services,0.003134796238244514,0.0034352546546222483,0.01737241276857887,0.0024164290165516003,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,43.680380408117806,43.680380408117806,,
PFE,108,-0.04007358304243485,Healthcare,0.003134796238244514,0.0036452337216549974,0.016371696956151396,0.00227723368665215,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,53.33333333333332,53.33333333333332,,
SILJ,109,-0.04106527957085964,Precious Metals,0.003134796238244514,0.002088537779490371,0.0285743750538436,0.003974574512460439,0.003134796238244515,50.0,50.0,100.0,50.0,50.0,19.52767565578023,19.52767565578023,,
CI,110,-0.04116006866726688,Healthcare,0.003134796238244514,0.002850698979868863,0.020934746967926045,0.0029119346115790206,0.003134796238244515,50.0,50.0,100.0,50.0,50.0,26.677282651249726,26.677282651249726,,
NOC,111,-0.04162364924651422,Industrials,0.003134796238244514,0.003478714906197585,0.01715537588865292,0.002386240106047271,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,36.406607712289535,36.406607712289535,,
A,112,-0.04227739132310527,Healthcare,0.003134796238244514,0.003010394548756571,0.019824199405997972,0.002757462150634659,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,19.606633604706886,19.606633604706886,,
AIG,113,-0.04228135839641046,Financial Services,0.003134796238244514,0.0038826522031918786,0.015370591724960192,0.0021379841902524673,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,44.56360480928852,44.56360480928852,,
MDT,114,-0.042464998907127495,Healthcare,0.003134796238244514,0.004321644147569308,0.013809249393855246,0.001920808086742181,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,23.55097751449108,23.55097751449108,,
VZ,115,-0.04327818949408344,Communication Services,0.003134796238244514,0.004502641144873315,0.013254145712506842,0.0018435955164058946,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,12.499598356196572,12.499598356196572,,
KMB,116,-0.04333824205854426,Consumer Defensive,0.003134796238244514,0.0038844747003076666,0.015363380232738484,0.002136981102236467,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,38.17252850561388,38.17252850561388,,
DHR,117,-0.043474446974692986,Healthcare,0.003134796238244514,0.0028956524033245563,0.020609746444967388,0.0028667284157250874,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,34.487164179104624,34.487164179104624,,
ITW,118,-0.04349370445967308,Industrials,0.003134796238244514,0.004205377877247595,0.014191034329675752,0.0019739127538536813,0.003134796238244515,50.0,50.0,100.0,50.0,50.0,9.983467136515898,9.983467136515898,,
YUM,119,-0.04359691228751212,Consumer Cyclical,0.003134796238244514,0.003837769553443196,0.015550350534136849,0.0021629878790469727,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,34.27602685735202,34.27602685735202,,
AMGN,120,-0.04367126697593061,Healthcare,0.003134796238244514,0.0034523985925577873,0.01728614475568572,0.002404429501439209,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,20.48297618304602,20.48297618304602,,
