ticker,rank,score,sector,equal_weight,risk_parity_weight,volatility_annual,risk_contrib_ew,risk_contrib_rp,value_score,quality_score,tech_score,fund_score,sent_score,rsi,rsi
PANW,107,0.005591032736647698,Technology,0.003134796238244514,0.002725675473010053,0.02189499902546154,0.0030455016046007943,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,37.1881190078894,37.1881190078894
LULU,108,0.005354731558440642,Consumer Cyclical,0.003134796238244514,0.0019176904656930977,0.03112007015361068,0.004328669915805705,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,33.14917346253121,33.14917346253121
NLR,109,0.005284696043301745,Energy,0.003134796238244514,0.0023676911473738,0.02520542507897367,0.0035059678437707204,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,25.54365542599166,25.54365542599166
STZ,110,0.005173526150764707,Consumer Defensive,0.003134796238244514,0.0029528840841639625,0.020210296145836047,0.002811166571417715,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,3.6132063194453963,3.6132063194453963
APD,111,0.005165920026640383,Basic Materials,0.003134796238244514,0.0034206723894672753,0.017446471053187793,0.0024267302101871045,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,14.492599093844532,14.492599093844532
AMT,112,0.0051267467815995565,Real Estate,0.003134796238244514,0.0038720526489433326,0.015412667966063321,0.0021438368171306935,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,14.914044027801637,14.914044027801637
PGR,113,0.005072316510838653,Financial Services,0.003134796238244514,0.0038902431143201847,0.015340599564484626,0.0021338124077944017,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,37.634766507280084,37.634766507280084
GD,114,0.004545518807580192,Industrials,0.003134796238244514,0.004476290911224265,0.01333216786148455,0.0018544480667818815,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,38.52416327256476,38.52416327256476
DLR,115,0.004473036871015964,Real Estate,0.003134796238244514,0.003482325438218553,0.01713758891409335,0.002383766013241915,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,25.588585154083162,25.588585154083162
IR,116,0.004185702575077831,Industrials,0.003134796238244514,0.0029114327503795756,0.020498038918295117,0.0028511903720224697,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,10.40844109585747,10.40844109585747
COP,117,0.00397293024959895,Energy,0.003134796238244514,0.0028124849699467554,0.02121919315586932,0.0029514998712438616,0.0031347962382445136,50.0,50.0,100.0,50.0,50.0,21.555616216628067,21.555616216628067
QCOM,118,0.003907958070924587,Technology,0.003134796238244514,0.0024807624555091726,0.024056580545528523,0.0033461684363363872,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,40.20977685918857,40.20977685918857
PRU,119,0.0038394120426968013,Financial Services,0.003134796238244514,0.0035853541782956203,0.016645123147540516,0.0023152661114833675,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,36.80435984367654,36.80435984367654
LEN,120,0.0036073081964338926,Consumer Cyclical,0.003134796238244514,0.002673752485854601,0.0223201893746738,0.003104643780824728,0.0031347962382445136,50.0,50.0,100.0,50.0,50.0,2.0584965513827456,2.0584965513827456
AZO,121,0.0035267982112749817,Consumer Cyclical,0.003134796238244514,0.0041574220821200105,0.014354727676543095,0.001996681804903523,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,32.874332706727145,32.874332706727145
